"date","observed"
"2018-09-15T05:12:00.00Z",18341720
"2018-09-15T05:13:00.00Z",12540471
"2018-09-15T05:14:00.00Z",10740714
"2018-09-15T05:15:00.00Z",14187050
"2018-09-15T05:16:00.00Z",13105263
"2018-09-15T05:17:00.00Z",13221640
"2018-09-15T05:18:00.00Z",11942472
"2018-09-15T05:19:00.00Z",11779125
"2018-09-15T05:20:00.00Z",12748725
"2018-09-15T05:21:00.00Z",13307634
"2018-09-15T05:22:00.00Z",15315763
"2018-09-15T05:23:00.00Z",13041000
"2018-09-15T05:24:00.00Z",14398838
"2018-09-15T05:25:00.00Z",10569100
"2018-09-15T05:26:00.00Z",12108000
"2018-09-15T05:27:00.00Z",9937444
"2018-09-15T05:28:00.00Z",11264100
"2018-09-15T05:29:00.00Z",14574861
"2018-09-15T05:30:00.00Z",12370593
"2018-09-15T05:31:00.00Z",10106333
"2018-09-15T05:32:00.00Z",11741600
"2018-09-15T05:33:00.00Z",12481514
"2018-09-15T05:34:00.00Z",15701929
"2018-09-15T05:35:00.00Z",11226571
"2018-09-15T05:36:00.00Z",13454516
"2018-09-15T05:37:00.00Z",11095480
"2018-09-15T05:38:00.00Z",11955628
"2018-09-15T05:39:00.00Z",15675094
"2018-09-15T05:40:00.00Z",15681720
"2018-09-15T05:41:00.00Z",11469278
"2018-09-15T05:42:00.00Z",13214185
"2018-09-15T05:43:00.00Z",13510733
"2018-09-15T05:44:00.00Z",15939722
"2018-09-15T05:45:00.00Z",13693056
"2018-09-15T05:46:00.00Z",14631325
"2018-09-15T05:47:00.00Z",14697759
"2018-09-15T05:48:00.00Z",16433152
"2018-09-15T05:49:00.00Z",9869056
"2018-09-15T05:50:00.00Z",14019310
"2018-09-15T05:51:00.00Z",13803029
"2018-09-15T05:52:00.00Z",17200634
"2018-09-15T05:53:00.00Z",12584097
"2018-09-15T05:54:00.00Z",14232056
"2018-09-15T05:55:00.00Z",14179677
"2018-09-15T05:56:00.00Z",13717581
"2018-09-15T05:57:00.00Z",14070519
"2018-09-15T05:58:00.00Z",14061536
"2018-09-15T05:59:00.00Z",13765727
"2018-09-15T06:00:00.00Z",12732500
"2018-09-15T06:01:00.00Z",15233879
"2018-09-15T06:02:00.00Z",13175306
"2018-09-15T06:03:00.00Z",13442207
"2018-09-15T06:04:00.00Z",14177867
"2018-09-15T06:05:00.00Z",13509458
"2018-09-15T06:06:00.00Z",15287957
"2018-09-15T06:07:00.00Z",13019231
"2018-09-15T06:08:00.00Z",13007839
"2018-09-15T06:09:00.00Z",13572581
"2018-09-15T06:10:00.00Z",8965320
"2018-09-15T06:11:00.00Z",19419688
"2018-09-15T06:12:00.00Z",13036462
"2018-09-15T06:13:00.00Z",10795875
"2018-09-15T06:14:00.00Z",13311919
"2018-09-15T06:15:00.00Z",11581400
"2018-09-15T06:16:00.00Z",16705500
"2018-09-15T06:17:00.00Z",17210708
"2018-09-15T06:18:00.00Z",11417259
"2018-09-15T06:19:00.00Z",15590769
"2018-09-15T06:20:00.00Z",13928391
"2018-09-15T06:21:00.00Z",15723143
"2018-09-15T06:22:00.00Z",15430087
"2018-09-15T06:23:00.00Z",14894800
"2018-09-15T06:24:00.00Z",12476457
"2018-09-15T06:25:00.00Z",13273875
"2018-09-15T06:26:00.00Z",9815300
"2018-09-15T06:27:00.00Z",11543146
"2018-09-15T06:28:00.00Z",13194867
"2018-09-15T06:29:00.00Z",11716487
"2018-09-15T06:30:00.00Z",12315129
"2018-09-15T06:31:00.00Z",15775394
"2018-09-15T06:32:00.00Z",11817448
"2018-09-15T06:33:00.00Z",12860958
"2018-09-15T06:34:00.00Z",17159320
"2018-09-15T06:35:00.00Z",12140684
"2018-09-15T06:36:00.00Z",15631806
"2018-09-15T06:37:00.00Z",12654433
"2018-09-15T06:38:00.00Z",9545867
"2018-09-15T06:39:00.00Z",15532808
"2018-09-15T06:40:00.00Z",9470581
"2018-09-15T06:41:00.00Z",14706737
"2018-09-15T06:42:00.00Z",16844260
"2018-09-15T06:43:00.00Z",13475385
"2018-09-15T06:44:00.00Z",12864963
"2018-09-15T06:45:00.00Z",13652303
"2018-09-15T06:46:00.00Z",14714375
"2018-09-15T06:47:00.00Z",13094586
"2018-09-15T06:48:00.00Z",13934065
"2018-09-15T06:49:00.00Z",16640405
"2018-09-15T06:50:00.00Z",12024600
"2018-09-15T06:51:00.00Z",14687654
"2018-09-15T06:52:00.00Z",11953000
"2018-09-15T06:53:00.00Z",13753429
"2018-09-15T06:54:00.00Z",13699368
"2018-09-15T06:55:00.00Z",17127428
"2018-09-15T06:56:00.00Z",13905621
"2018-09-15T06:57:00.00Z",10019773
"2018-09-15T06:58:00.00Z",21495838
"2018-09-15T06:59:00.00Z",11255040
